,principal_0,principal_1,principal_2,principal_3,principal_4
0,2.2249135860231375,18.79178758995247,235.49395611968717,15.804956081495657,-4.326107233825483
1,705.138576632479,-514.1074809684357,862.0284672597764,-24.953708264876187,-2.4774690766349425
2,-395.0574432254258,332.7592859238181,-74.9089160211474,3.298974462511405,2.23021635382499
3,-273.2271650600253,-377.6464660121092,-690.6426592026877,28.321323989974704,-3.355648275166124
4,-475.7601644349084,-163.39840846009184,213.2901895615439,-0.028233940406837646,3.7312041672059038
5,-155.8470406507308,-659.4331446803118,-1000.6196216607578,-28.060607883087364,-2.546357454320212
6,-402.1061356828441,222.89550325929375,-5.290991390070736,0.7015834551450141,-18.10560374098238
7,-637.9669765235151,65.33630001330917,-29.372736351723148,-30.352775279082707,-1.8164123294366832
8,-366.5552987342743,-58.755189541450584,-377.2842883077916,37.19528255404236,-14.993359547248712
9,-650.4125007581486,80.57119316641594,-7.098842208099782,2.9915785969283,-11.34060067610768
10,43.624612606446426,264.43245591016,-264.0275538216803,21.678515552953552,0.2609891252449091
11,-710.5403091959538,14.491927307452878,4.286251096039271,-13.703127181242783,2.1618299622588784
12,280.93501476166915,-477.87466009311606,245.44479933080007,19.648903111434603,-10.10261093497171
13,723.80800954208,518.7868190566345,-178.18552750079422,-3.459149860457618,-7.190786685449319
14,1160.639543977446,373.47680275566944,279.5968144285208,-4.3684849394722605,-1.9117822817189343
15,-301.7652455901426,-304.3611983566079,-192.10924673267508,-16.92614823741647,-2.558956794093898
16,-358.65520279447975,-193.4154007507109,-60.03325171617345,37.23563336910128,-3.9755677031925694
17,-497.3583915111091,-78.61038307850464,-125.6312647370712,-18.784691941325868,-13.556057776646416
18,194.39422997476012,-559.3447564798427,-700.7761147584941,-34.16129045011133,5.056366963739037
19,312.4613503051277,-574.9087430445821,566.847220768313,-25.930245421611623,-1.374209277031003
20,-164.52372633429073,-428.29287124445364,-510.36944427741344,8.081942828545781,-3.4426011287112632
21,-418.7307179298353,-259.5081863640723,-48.68485275990183,16.4720272240008,-6.1944161818701975
22,-333.5420201196721,-229.9491148892922,-140.56929389905036,3.2436536716103705,-4.069973188187456
23,946.1836309313808,-488.55230564408373,858.3110671604342,12.23192157088939,-9.058784626000799
24,-435.3661012308802,-319.71812332074535,-494.5230979349311,30.574143823838273,-11.895821639902376
25,-292.0946384770132,-396.1304430721672,-176.0190241309949,23.367696195599617,-9.439116602910879
26,875.5386621116671,553.9563801464334,120.42069177210062,-2.99168274897334,-5.378553782929601
27,287.1775116392483,256.01312505940103,-84.04804205426224,10.14264746096131,2.2411200888236906
28,90.96273568446192,373.35139693678246,46.720270133897934,27.03860502483523,13.681063959313473
29,325.11087874601674,-316.9963886321873,-522.5386087030913,-1.7405902910350626,12.805273112189205
30,-86.8919261903413,-26.02088824967151,216.4417993770445,19.459998700755666,12.328949098245461
31,351.84333911444253,-101.95544233564353,-49.23224210240443,-7.886332125138023,8.358994154302477
32,45.1018556637339,-213.1745168029603,-181.33250715029797,20.9915663922186,10.310645279816864
33,-17.670044225237852,15.301404610781725,107.69350768188015,11.604736072971917,-1.0878809204051318
34,573.6602862839941,-654.5873079923169,48.85870578214922,12.020436615221545,11.055276788774064
35,-104.97150167160346,-30.878096220181504,90.58018394854479,9.262917901567524,5.963784029903509
36,-72.98794251778898,-72.40925125230346,16.80922555293404,10.387209342173527,2.187350262304052
37,93.65757236272279,-106.2717157705746,-12.969440205762815,14.313972417306054,-1.9774989768427444
38,72.846459054084,-233.53493547198656,-152.13376342388543,-8.716779345590972,-4.06327300227663
39,783.9675310631728,162.56267382118378,212.8995455515621,20.10603465364224,4.020729056424033
40,181.85675016342924,401.49580019281757,-160.49368957545,22.692094573935524,-9.579144097975576
41,1533.9521402682753,-414.1296931559225,188.60902417191295,-1.1079407572914097,5.71817193740482
42,-122.92201671300117,-35.8155526950556,-35.53888988272163,27.984904603058204,-9.454435195812202
43,-604.8923609838158,-86.98955044591474,-28.603266531693695,8.77304765128319,-6.639381242018472
44,315.76415281474385,111.43857613412897,149.12825170227413,6.9982246642702615,-9.19385176552633
45,-484.7966220196354,45.21159680270645,-50.90887049961426,5.613688195379511,-3.8347659337930935
46,-373.56941510846775,-274.54121133572266,105.72926604944722,-1.8926189107733737,-6.585068035938062
47,-402.1419314100574,237.83060935009644,-134.54612650156173,2.5097565174886425,-16.271636605893868
48,-600.4570202399487,19.830474363431623,-97.51846048014865,-13.820451654395438,-1.0242363775824985
49,-16.528677106389374,-615.656079259332,6.951016970328597,4.328264917063552,3.7617986734476765
50,-174.98631627387368,-134.94824019828675,-474.35051915884156,-3.3182469754865074,-5.955741779854464
51,704.7969561262535,1078.9234766107559,-325.71457343285954,-17.245660118836074,-9.216887407257909
52,1931.0568971982716,59.844737988310285,-753.9750544411816,3.784978053801134,0.7322013742473436
53,-48.0248871737459,-126.90256722647617,-170.99119232093184,-20.879676715860374,1.5384567041865922
54,1691.658644656848,233.2270223357925,-48.50765250463602,-7.744284389599624,-0.4518064205915904
55,824.2564807135963,-415.8920058909637,-91.8574381172464,-19.0143526072319,4.276146014067273
56,-1056.3291087611951,-400.3221632889166,766.8330861515825,7.997388594054717,-6.52296990265653
57,-844.9666881959939,-527.5561464040189,1150.5912477515365,-18.320639155859425,-6.201989097569052
58,-2172.842736370206,123.34969408970835,38.13249123403673,-6.675841407923637,0.5880810085065389
59,-2172.8427497307857,123.34969064939436,38.13242724550765,-6.676924473253813,0.5929441665111693
60,-1992.6603989862929,321.6408520357139,4.6164919723131055,-6.933796119228627,0.4466982445920433
61,-1992.6604123468726,321.6408485953997,4.616427983784076,-6.934879184558917,0.45156140259669514
62,-2172.842737237917,123.34968238107203,38.132485644417926,-6.675499473231088,0.5876453247967524
63,-2172.842750598497,123.34967894075794,38.13242165588888,-6.6765825385613145,0.5925084828013699
64,-1992.6603998540036,321.6408403270772,4.616486382694356,-6.933454184536207,0.4462625608822767
65,-1992.6604132145844,321.64083688676317,4.61642239416527,-6.9345372498659525,0.4511257188867639
66,-2043.2045721803568,28.408051600442,173.33503146068497,-5.112259688035845,0.44694759409494433
67,-2043.2045855409374,28.40804816012762,173.33496747215597,-5.113342753365834,0.4518107520995113
68,-1863.0222347964432,226.69920954644712,139.8190321989615,-5.370214399340814,0.3055648301804216
69,-1863.0222481570247,226.69920610613298,139.8189682104324,-5.371297464670551,0.3104279881849463
70,-2043.204573048068,28.40803989180522,173.33502587106625,-5.111917753343103,0.4465119103850764
71,-2043.204586408648,28.408036451491153,173.33496188253716,-5.113000818673251,0.4513750683896878
72,-1863.022235664156,226.69919783781043,139.81902660934264,-5.369872464647616,0.3051291464704463
73,-1863.022249024736,226.6991943974966,139.81896262081358,-5.370955529977857,0.3099923044750852
74,-944.2879958355348,527.9748547626758,-389.56196300368333,-16.50287654792438,1.781999503946104
75,-12.524700872810556,-169.96961746022106,-235.43357771773663,7.229395812314385,-4.978259764389355
76,545.9342504128203,-522.6644387684319,-770.0066185037607,-11.180263359181682,6.5878043734354685
