,index,NewName_x,playerId,positionText_x,teamName_x,League_x
99,1764,J. Luis Palomino,125810,Defender,Atalanta,Italian Serie A
100,1768,S. de Vrij,82399,Defender,Inter,Italian Serie A
101,1772,B. Djimsiti,100962,Defender,Atalanta,Italian Serie A
102,1781,C. Ansaldi,23001,Defender,Torino,Italian Serie A
103,1782,D. Godín,26059,Defender,Inter,Italian Serie A
104,1787,O. Aina,315543,Defender,Torino,Italian Serie A
105,1796,S. Radu,21234,Defender,Lazio,Italian Serie A
106,1799,A. Romagnoli,118158,Defender,AC Milan,Italian Serie A
107,1817,R. Tolói,64075,Defender,Atalanta,Italian Serie A
108,1821,L. Bonucci,20664,Defender,Juventus,Italian Serie A
109,1835,T. Castagne,141169,Defender,Atalanta,Italian Serie A
110,1836,D. Biraschi,123767,Defender,Genoa,Italian Serie A
111,1841,M. Rui,106931,Defender,Napoli,Italian Serie A
112,1848,C. Biraghi,93935,Defender,Inter,Italian Serie A
113,1849,K. Koulibaly,90880,Defender,Napoli,Italian Serie A
114,1859,B. Nuytinck,77422,Defender,Udinese,Italian Serie A
115,1865,G. Pezzella,121456,Defender,Fiorentina,Italian Serie A
116,1866,H. Hateboer,135890,Defender,Atalanta,Italian Serie A
117,1867,M. de Ligt,320374,Defender,Juventus,Italian Serie A
118,1883,M. Santos,131382,Defender,Sassuolo,Italian Serie A
119,1884,K. Manolas,70149,Defender,Napoli,Italian Serie A
120,1892,M. Skriniar,302918,Defender,Inter,Italian Serie A
121,1893,P. Lirola,323240,Defender,Fiorentina,Italian Serie A
122,1901,B. Bereszynski,84827,Defender,Sampdoria,Italian Serie A
123,1912,E. Hysaj,108345,Defender,Napoli,Italian Serie A
124,1918,N. Nkoulou,43834,Defender,Torino,Italian Serie A
125,1920,A. Florenzi,101596,Defender,Roma,Italian Serie A
126,1921,F. Depaoli,302893,Defender,Sampdoria,Italian Serie A
127,1922,W. Troost-Ekong,133400,Defender,Udinese,Italian Serie A
128,1923,J. Stryger Larsen,327700,Defender,Udinese,Italian Serie A
129,1928,Danilo,18727,Defender,Bologna,Italian Serie A
130,1940,F. Pisacane,141308,Defender,Cagliari,Italian Serie A
131,1948,G. Marco Ferrari,145352,Defender,Sassuolo,Italian Serie A
132,1952,F. Romagna,143991,Defender,Sassuolo,Italian Serie A
133,1957,D. Calabria,260498,Defender,AC Milan,Italian Serie A
134,1969,L. Rossettini,31302,Defender,Lecce,Italian Serie A
135,1970,F. Vicari,343369,Defender,SPAL 2013,Italian Serie A
136,1976,I. Mbaye,118142,Defender,Bologna,Italian Serie A
137,1982,N. Murru,106275,Defender,Sampdoria,Italian Serie A
138,1983,L. De Silvestri,19580,Defender,Torino,Italian Serie A
139,2612,R. Bensebaini,288892,Defender,Borussia M.Gladbach,German 1 Bundesliga
140,2614,B. Pavard,259648,Defender,Bayern Munich,German 1 Bundesliga
141,2618,C. Trimmel,71757,Defender,Union Berlin,German 1 Bundesliga
142,2622,M. Hummels,21541,Defender,Borussia Dortmund,German 1 Bundesliga
143,2630,N. Mukiele,299077,Defender,RasenBallsport Leipzig,German 1 Bundesliga
144,2632,William,243276,Defender,Wolfsburg,German 1 Bundesliga
145,2635,D. Alaba,39722,Defender,Bayern Munich,German 1 Bundesliga
146,2637,L. Bender,29940,Defender,Bayer Leverkusen,German 1 Bundesliga
147,2647,L. Klostermann,143600,Defender,RasenBallsport Leipzig,German 1 Bundesliga
148,2651,M. Hinteregger,83659,Defender,Eintracht Frankfurt,German 1 Bundesliga
149,2655,S. Bender,22589,Defender,Bayer Leverkusen,German 1 Bundesliga
150,2656,N. Elvedi,243534,Defender,Borussia M.Gladbach,German 1 Bundesliga
151,2659,P. Max,142466,Defender,Augsburg,German 1 Bundesliga
152,2663,M. Gulde,77451,Defender,Freiburg,German 1 Bundesliga
